ID,exp_no,rep,dens,rearing_vessel,temp,food_level,treatment,feeding_interval,egg_sub,l_emerg,l_emerg_days_frm_sub,l_death,l_surv,pupal_ref,p_emerg,l_to_p_devtime,l_to_p_devrate,p_death,p_surv,a_emerg,p_to_a_devtime,p_to_a_devrate,a_death,adult_lifespan,adult_mort_rate,hatch_to_a_devtime,hatch_to_adult_devrate,sex,im_surv,j_lifetime,total_lifespan,length_mm
18,3,C,0.2,tub,26,0.1,26_0.1,24,30/03/2019 12:00,31/03/2019 12:00,1,NA,0,9,01/05/2019 12:00,32,0.03125,NA,0,03/05/2019 12:00,2,0.5,12/05/2019 12:00,9,0.111111111,34,0.029411765,female,0,34,43,2.63
15,3,A,0.2,tub,26,1,26_1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,11,04/04/2019 12:00,6,0.166666667,NA,0,06/04/2019 12:00,2,0.5,12/04/2019 12:00,6,0.166666667,8,0.125,female,0,8,14,2.9
16,3,A,0.2,tub,26,1,26_1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,12,04/04/2019 12:00,6,0.166666667,NA,0,06/04/2019 12:00,2,0.5,13/04/2019 12:00,7,0.142857143,8,0.125,female,0,8,15,2.93
19,3,A,0.2,tub,26,1,26_1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,15,04/04/2019 12:00,6,0.166666667,NA,0,07/04/2019 12:00,3,0.333333333,13/04/2019 12:00,6,0.166666667,9,0.111111111,female,0,9,15,2.95
21,3,A,0.2,tub,22,1,22_1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,18,07/04/2019 12:00,9,0.111111111,NA,0,10/04/2019 12:00,3,0.333333333,19/04/2019 12:00,9,0.111111111,12,0.083333333,female,0,12,21,3.09
22,3,A,0.2,tub,22,1,22_1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,19,07/04/2019 12:00,9,0.111111111,NA,0,10/04/2019 12:00,3,0.333333333,22/04/2019 12:00,12,0.083333333,12,0.083333333,female,0,12,24,3.18
9,3,B,0.2,tub,26,1,26_1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,6,04/04/2019 12:00,6,0.166666667,NA,0,06/04/2019 12:00,2,0.5,12/04/2019 12:00,6,0.166666667,8,0.125,female,0,8,14,2.96
12,3,B,0.2,tub,26,1,26_1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,9,04/04/2019 12:00,6,0.166666667,NA,0,06/04/2019 12:00,2,0.5,12/04/2019 12:00,6,0.166666667,8,0.125,female,0,8,14,2.79
14,3,B,0.2,tub,26,1,26_1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,11,04/04/2019 12:00,6,0.166666667,NA,0,06/04/2019 12:00,2,0.5,13/04/2019 12:00,7,0.142857143,8,0.125,female,0,8,15,2.92
21,3,B,0.2,tub,26,1,26_1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,18,04/04/2019 12:00,6,0.166666667,NA,0,06/04/2019 12:00,2,0.5,13/04/2019 12:00,7,0.142857143,8,0.125,female,0,8,15,3.02
23,3,B,0.2,tub,26,1,26_1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,20,04/04/2019 12:00,6,0.166666667,NA,0,06/04/2019 12:00,2,0.5,12/04/2019 12:00,6,0.166666667,8,0.125,female,0,8,14,2.86
26,3,B,0.2,tub,26,1,26_1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,23,04/04/2019 12:00,6,0.166666667,NA,0,07/04/2019 12:00,3,0.333333333,13/04/2019 12:00,6,0.166666667,9,0.111111111,female,0,9,15,3.04
30,3,B,0.2,tub,26,1,26_1,24,29/03/2019 12:00,30/03/2019 12:00,1,NA,0,27,05/04/2019 12:00,7,0.142857143,NA,0,07/04/2019 12:00,2,0.5,14/04/2019 12:00,7,0.142857143,9,0.111111111,female,0,9,16,2.87
